what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.ui.net,1.2.0.I20090430-0408,"org.eclipse.ui.net",1255688639206
started,bundle,org.eclipse.ui.views,3.4.0.I20090525-2000,"org.eclipse.ui.views",1255688639207
started,bundle,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"org.eclipse.ui.workbench",1255688639208
started,bundle,org.eclipse.ui.workbench.texteditor,3.5.0.v20090603,"org.eclipse.ui.workbench.texteditor",1255688639209
started,bundle,org.eclipse.update.configurator,3.3.0.v20090312,"org.eclipse.update.configurator",1255688639210
started,bundle,org.eclipse.update.core,3.2.300.v20090525,"org.eclipse.update.core",1255688639211
started,bundle,org.eclipse.update.scheduler,3.2.200.v20081127,"org.eclipse.update.scheduler",1255688639212
started,bundle,com.trolltech.qtcppproject,1.5.2,"com.trolltech.qtcppproject",1255688639212
started,bundle,org.eclipse.jdt.core,3.5.0.v_963,"org.eclipse.jdt.core",1255688639213
started,bundle,org.eclipse.jdt.core.manipulation,1.3.0.v20090603,"org.eclipse.jdt.core.manipulation",1255688639214
started,bundle,org.eclipse.jdt.ui,3.5.0.v20090604,"org.eclipse.jdt.ui",1255688639218
started,bundle,org.tigris.subversion.clientadapter,1.5.3,"org.tigris.subversion.clientadapter",1255688639218
started,bundle,org.tigris.subversion.subclipse.core,1.4.8,"org.tigris.subversion.subclipse.core",1255688639218
started,bundle,org.tigris.subversion.subclipse.mylyn,3.0.0,"org.tigris.subversion.subclipse.mylyn",1255688639218
started,bundle,org.tigris.subversion.subclipse.ui,1.4.8,"org.tigris.subversion.subclipse.ui",1255688639220
os,sysinfo,,,"linux",1255688639225
arch,sysinfo,,,"x86_64",1255688639225
ws,sysinfo,,,"gtk",1255688639225
locale,sysinfo,,,"en_GB",1255688639225
processors,sysinfo,,,"4",1255688639227
java.runtime.name,sysinfo,,,"OpenJDK Runtime Environment",1255688639227
java.runtime.version,sysinfo,,,"1.6.0_0-b14",1255688639227
java.specification.name,sysinfo,,,"Java Platform API Specification",1255688639227
java.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1255688639227
java.specification.version,sysinfo,,,"1.6",1255688639227
